,SYMBOL,NAME OF COMPANY,cm01JUN2023bhav.csv
371,CROWN,Crown Lifters Limited,2.63522884882109
372,CSBBANK,CSB Bank Limited,0.07186489399927727
373,CSLFINANCE,CSL Finance Limited,4.747847478474788
374,CTE,Cambridge Technology Enterprises Limited,1.6627078384798168
375,CUB,City Union Bank Limited,-1.3184178985217783
376,CUBEXTUB,Cubex Tubings Limited,
377,CUMMINSIND,Cummins India Limited,-0.5227569748281178
378,CUPID,Cupid Limited,0.21442495126706096
379,CYBERMEDIA,Cyber Media (India) Limited,2.102102102102111
380,CYBERTECH,Cybertech Systems And Software Limited,-1.6813144822315544
381,CYIENT,Cyient Limited,5.709222590338231
382,DAAWAT,LT Foods Limited,4.2321116928446845
383,DABUR,Dabur India Limited,0.2700756211739287
384,DALBHARAT,Dalmia Bharat Limited,0.21362003802907026
385,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,0.6493506493506526
386,DAMODARIND,Damodar Industries Limited,-1.606922126081596
387,DANGEE,Dangee Dums Limited,-2.173913043478266
388,DATAMATICS,Datamatics Global Services Limited,9.998937413664862
389,DATAPATTNS,Data Patterns (India) Limited,-1.0094132970220802
390,DBCORP,D.B.Corp Limited,-1.2415349887133225
391,DBL,Dilip Buildcon Limited,4.223369310183013
392,DBOL,Dhampur Bio Organics Limited,0.09600000000000364
393,DBREALTY,D B Realty Limited,-1.2758201701093526
394,DBSTOCKBRO,DB (International) Stock Brokers Limited,-0.8492569002123113
395,DCAL,Dishman Carbogen Amcis Limited,1.8596787827557082
396,DCBBANK,DCB Bank Limited,1.4006791171477129
397,DCI,Dc Infotech And Communication Limited,0.611325611325604
398,DCM,DCM  Limited,1.7955801104972333
399,DCMFINSERV,DCM Financial Services Limited,-1.0309278350515427
400,DCMNVL,DCM Nouvelle Limited,12.331201137171304
401,DCMSHRIRAM,DCM Shriram Limited,0.13358889469709906
402,DCMSRIND,DCM Shriram Industries Limited,0.13908205841445662
403,DCW,DCW Limited,0.11350737797957836
404,DCXINDIA,DCX Systems Limited,8.827206801700429
405,DECCANCE,Deccan Cements Limited,0.09992228266903266
406,DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,5.803070011231748
407,DEEPAKNTR,Deepak Nitrite Limited,0.09644131545954286
408,DEEPENR,DEEP ENERGY RESOURCES LIMITED,-1.921317474839885
409,DEEPINDS,Deep Industries Limited,-2.6451983898792375
410,DELHIVERY,Delhivery Limited,1.7754868270332156
411,DELPHIFX,DELPHI WORLD MONEY LIMITED,4.807533454485383
412,DELTACORP,Delta Corp Limited,-0.22671063478977038
413,DELTAMAGNT,Delta Manufacturing Limited,1.215395003376105
414,DEN,Den Networks Limited,1.5673981191222572
415,DENORA,De Nora India Limited,3.4429412121579808
416,DEVIT,Dev Information Technology Limited,4.62034383954156
417,DEVYANI,Devyani International Limited,0.32520325203251726
418,DGCONTENT,Digicontent Limited,3.6666666666666714
419,DHAMPURSUG,Dhampur Sugar Mills Limited,1.1244979919678761
420,DHANBANK,Dhanlaxmi Bank Limited,3.927492447129901
421,DHANI,Dhani Services Limited,-0.28776978417266597
422,DHANUKA,Dhanuka Agritech Limited,-0.9371095376926282
423,DHARMAJ,Dharmaj Crop Guard Limited,-0.3263126668644386
424,DHARSUGAR,Dharani Sugars&Chemicals Limited,
425,DHRUV,Dhruv Consultancy Services Limited,0.8138351983723268
426,DHUNINV,Dhunseri Investments Limited,-0.6014606902477347
427,DIAMONDYD,Prataap Snacks Limited,-1.7176997759521977
428,DICIND,DIC India Limited,0.26622718052738625
429,DIGISPICE,DiGiSPICE Technologies Limited,0.0
430,DIGJAMLMTD,Digjam Limited,
431,DIL,Debock Industries Limited,0.29940119760479467
432,DISHTV,Dish TV India Limited,-0.3521126760563305
433,DIVGIITTS,Divgi Torqtransfer Systems Limited,0.49264007597340664
434,DIVISLAB,Divi's Laboratories Limited,2.375421070972244
435,DIXON,Dixon Technologies (India) Limited,0.7927811795037061
436,DJML,DJ Mediaprint & Logistics Limited,-1.61148549663053
437,DLF,DLF Limited,0.48431248683933703
438,DLINKINDIA,D-Link (India) Limited,-1.136607334334122
439,DMART,Avenue Supermarts Limited,0.8541591645660811
440,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,0.5297473512632368
441,DNAMEDIA,Diligent Media Corporation Limited,-3.5714285714285587
442,DODLA,Dodla Dairy Limited,0.36896786095737005
443,DOLATALGO,Dolat Algotech Limited,-0.5681818181818182
444,DOLLAR,Dollar Industries Limited,3.5940803382663846
445,DONEAR,Donear Industries Limited,0.8506113769271634
446,DPABHUSHAN,D. P. Abhushan Limited,0.6357054564718387
447,DPSCLTD,DPSC Limited,-0.9009009009008978
448,DPWIRES,D P Wires Limited,4.215373715905071
449,DRCSYSTEMS,DRC Systems India Limited,2.0297699594046006
450,DREAMFOLKS,Dreamfolks Services Limited,-2.3698724577731816
451,DREDGECORP,Dredging Corporation of India Limited,-0.11144722177997858
452,DRREDDY,Dr. Reddy's Laboratories Limited,1.1330689505781983
453,DSSL,Dynacons Systems & Solutions Limited,-3.569131832797423
