,SYMBOL,NAME OF COMPANY,cm01NOV2023bhav.csv
427,DIAMONDYD,Prataap Snacks Limited,-0.4449254449254504
428,DICIND,DIC India Limited,-1.2360211889346673
429,DIGISPICE,DiGiSPICE Technologies Limited,
430,DIGJAMLMTD,Digjam Limited,
431,DIL,Debock Industries Limited,
432,DISHTV,Dish TV India Limited,-0.884955752212381
433,DIVGIITTS,Divgi Torqtransfer Systems Limited,0.1201230059581011
434,DIVISLAB,Divi's Laboratories Limited,-1.2483952366195856
435,DIXON,Dixon Technologies (India) Limited,1.5622549788301672
436,DJML,DJ Mediaprint & Logistics Limited,0.567423230974629
437,DLF,DLF Limited,2.014196983141087
438,DLINKINDIA,D-Link (India) Limited,0.28980565973404904
439,DMART,Avenue Supermarts Limited,0.16651070622556635
440,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,-0.7184399589462958
441,DNAMEDIA,Diligent Media Corporation Limited,
442,DODLA,Dodla Dairy Limited,-0.6785349481978663
443,DOLATALGO,Dolat Algotech Limited,-3.162393162393165
444,DOLLAR,Dollar Industries Limited,-2.1053883668371647
445,DONEAR,Donear Industries Limited,-0.3051881993896207
446,DPABHUSHAN,D. P. Abhushan Limited,1.654964894684048
447,DPSCLTD,DPSC Limited,0.6920415224913594
448,DPWIRES,D P Wires Limited,0.48246285801806976
449,DRCSYSTEMS,DRC Systems India Limited,-1.256281407035176
450,DREAMFOLKS,Dreamfolks Services Limited,5.456420835482205
451,DREDGECORP,Dredging Corporation of India Limited,-2.09491235570757
452,DRREDDY,Dr. Reddy's Laboratories Limited,-0.3931029985747755
453,DSSL,Dynacons Systems & Solutions Limited,-13.825000000000005
454,DTIL,Dhunseri Tea & Industries Limited,0.07015902712814652
455,DUCON,Ducon Infratechnologies Limited,0.0
456,DVL,Dhunseri Ventures Limited,-0.6927175843694453
457,DWARKESH,Dwarikesh Sugar Industries Limited,-2.230897936419409
458,DYCL,Dynamic Cables Limited,
