,SYMBOL,NAME OF COMPANY,cm04DEC2023bhav.csv,cm01DEC2023bhav.csv
277,BOSCHLTD,Bosch Limited,-0.6298806124920973,2.24078742381207
278,BPCL,Bharat Petroleum Corporation Limited,5.365296803652968,0.5278861602019765
279,BPL,BPL Limited,,
280,BRIGADE,Brigade Enterprises Limited,0.6916701448929782,2.732006125574267
281,BRITANNIA,Britannia Industries Limited,-0.6638837197605995,2.433721780882618
282,BRNL,Bharat Road Network Limited,-1.4067995310668264,-0.11709601873537297
283,BROOKS,Brooks Laboratories Limited,,
284,BSE,BSE Limited,0.530286354631501,0.8760774339409465
285,BSHSL,Bombay Super Hybrid Seeds Limited,0.3187613843351626,0.710846136207284
286,BSL,BSL Limited,-1.2664393570384913,10.82321187584346
287,BSOFT,BIRLASOFT LIMITED,0.07089963762406361,0.6900928055842028
288,BTML,Bodhi Tree Multimedia Limited,-2.6488002492988474,1.7115689381933368
289,BURNPUR,Burnpur Cement Limited,,
290,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,2.1885357769545766,0.5193532582067569
291,BVCL,Barak Valley Cements Limited,,
292,BYKE,The Byke Hospitality Ltd,,
293,CALSOFT,California Software Company Limited,3.8461538461538387,1.0600706713780943
294,CAMLINFINE,Camlin Fine Sciences Limited,-1.6837481698389334,0.8490217792543416
295,CAMPUS,Campus Activewear Limited,2.4456521739130435,0.30892240596039355
296,CAMS,Computer Age Management Services Limited,3.5977661630987328,-0.2766720811095443
297,CANBK,Canara Bank,4.058006336826706,1.7987842699416945
298,CANFINHOME,Can Fin Homes Limited,1.425849671194152,4.154397644347705
299,CANTABIL,Cantabil Retail India Limited,6.2289183719361345,10.980783628649863
300,CAPACITE,Capacit'e Infraprojects Limited,1.0200153964588057,2.891089108910896
301,CAPLIPOINT,Caplin Point Laboratories Limited,-2.8120050986905705,3.1434262948207206
302,CAPTRUST,Capital Trust Limited,1.4734774066797642,-2.443699089602297
303,CARBORUNIV,Carborundum Universal Limited,2.4580284115368016,-2.4031593983698776
304,CAREERP,Career Point Limited,-1.1141371626640257,0.02476473501732687
305,CARERATING,CARE Ratings Limited,6.083167879991174,-0.8963707914298134
306,CARTRADE,Cartrade Tech Limited,-1.3379647497748588,1.5215829687193858
307,CARYSIL,CARYSIL LIMITED,0.69675376088678,3.490658800393319
308,CASTROLIND,Castrol India Limited,1.3561741613133516,1.3748191027496426
309,CCCL,Consolidated Construction Consortium Limited,,
310,CCHHL,Country Club Hospitality & Holidays Limited,19.999999999999993,
311,CCL,CCL Products (India) Limited,0.7756653992395471,-0.4014239188063285
312,CDSL,Central Depository Services (India) Limited,1.5356249176873484,0.23497729432886502
313,CEATLTD,CEAT Limited,0.9807081357336769,3.4287347016524596
314,CELEBRITY,Celebrity Fashions Limited,,
315,CENTENKA,Century Enka Limited,0.5966587112171837,0.03581234332099254
316,CENTEXT,Century Extrusions Limited,,
317,CENTRALBK,Central Bank of India,9.029345372460497,0.5675368898978435
318,CENTRUM,Centrum Capital Limited,1.5985790408525855,-1.5734265734265833
319,CENTUM,Centum Electronics Limited,-1.4877680043980273,
320,CENTURYPLY,Century Plyboards (India) Limited,1.277601358836141,4.98526903395875
321,CENTURYTEX,Century Textiles & Industries Limited,3.5341082540800826,1.0919881305637946
322,CERA,Cera Sanitaryware Limited,-0.6019120237992128,0.800041923594258
323,CEREBRAINT,Cerebra Integrated Technologies Limited,,
324,CESC,CESC Limited,8.358208955223887,3.3950617283950586
325,CGCL,Capri Global Capital Limited,1.6163793103448276,-0.5958358438776254
326,CGPOWER,CG Power and Industrial Solutions Limited,3.081478232262312,1.457498887405432
327,CHALET,Chalet Hotels Limited,-1.0348956551488313,-0.8732513777024125
328,CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,1.4834478450968145,0.6127258444618975
329,CHEMBOND,Chembond Chemicals Ltd,0.8356272119543845,-0.5377921189009485
330,CHEMCON,Chemcon Speciality Chemicals Limited,0.5066616626008718,0.9280303030302988
331,CHEMFAB,Chemfab Alkalis Limited,0.2583979328165498,0.4508196721311413
332,CHEMPLASTS,Chemplast Sanmar Limited,-0.3727865796831337,2.77777777777778
333,CHENNPETRO,Chennai Petroleum Corporation Limited,-0.08948545861297878,0.7588849650612298
334,CHEVIOT,Cheviot Company Limited,0.6059620155354056,0.5643940943110786
335,CHOICEIN,Choice International Limited,0.9851088201603692,0.5065622841353877
336,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,1.8214855522070514,0.9620117231196027
337,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,3.6370708937080707,4.730865203442474
338,CIGNITITEC,Cigniti Technologies Limited,-0.36840489452217406,-0.5972621850205019
339,CINELINE,Cineline India Limited,,
340,CINEVISTA,Cinevista Limited,,
341,CIPLA,Cipla Limited,0.8957452102513025,-0.5444196980945236
342,CLEAN,Clean Science and Technology Limited,-0.9101290791431543,5.9468377635197
343,CLEDUCATE,CL Educate Limited,0.884955752212393,0.0
344,CLSEL,Chaman Lal Setia Exports Limited,2.454809194376255,-1.6245883644346821
345,CMICABLES,CMI Limited,,
346,CMSINFO,CMS Info Systems Limited,-0.05004378831477259,-1.30880355599457
347,COALINDIA,Coal India Limited,2.3222270301456835,1.31521262604121
348,COASTCORP,Coastal Corporation Limited,-0.7207207207207252,-0.49800796812749004
349,COCHINSHIP,Cochin Shipyard Limited,1.8551842330762718,-3.1213680889921895
350,COFFEEDAY,Coffee Day Enterprises Limited,0.10928961748633259,-0.43525571273123576
351,COFORGE,Coforge Limited,-0.6659082954147739,-0.8132480449933666
352,COLPAL,Colgate Palmolive (India) Limited,0.4211911813096374,3.7815317366360164
353,COMPINFO,Compuage Infocom Limited,,
354,COMPUSOFT,Compucom Software Limited,,
355,CONCOR,Container Corporation of India Limited,2.0059861173024265,1.179123711340203
356,CONFIPET,Confidence Petroleum India Limited,0.20629190304280848,-0.15447991761070184
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,6.2877643504531635,7.839543881083282
358,CONTROLPR,Control Print Limited,3.9143192488262937,-0.8322178897747747
359,CORALFINAC,Coral India Finance & Housing Limited,-1.559454191033133,-0.19455252918288216
360,CORDSCABLE,Cords Cable Industries Limited,-0.224517287831163,-1.6777041942604907
361,COROMANDEL,Coromandel International Limited,0.7267441860465117,0.5545286506469344
362,COSMOFIRST,COSMO FIRST LIMITED,-0.814319116342813,2.124331000411688
363,COUNCODOS,Country Condo's Limited,4.424778761061947,4.62962962962963
364,CRAFTSMAN,Craftsman Automation Limited,0.3117188648728057,1.0099509876726571
365,CREATIVE,Creative Newtech Limited,-0.9977324263038607,-1.0069266290405365
366,CREATIVEYE,Creative Eye Limited,0.0,0.0
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED,0.5594487957128556,0.03829273321746523
368,CREST,Crest Ventures Limited,3.271105237072538,-1.352672750977847
369,CRISIL,CRISIL Limited,0.3044662954626315,-1.2806268639260863
