,SYMBOL,NAME OF COMPANY,cm01APR2024bhav.csv
426,DHUNINV,Dhunseri Investments Limited,4.532131764294147
427,DIAMONDYD,Prataap Snacks Limited,2.483144219700705
428,DICIND,DIC India Limited,2.593077197573445
429,DIGISPICE,DiGiSPICE Technologies Limited,4.907975460122697
430,DIGJAMLMTD,Digjam Limited,
431,DIL,Debock Industries Limited,10.000000000000002
432,DISHTV,Dish TV India Limited,6.268656716417914
433,DIVGIITTS,Divgi Torqtransfer Systems Limited,1.0326016365761848
434,DIVISLAB,Divi's Laboratories Limited,3.5599222128696955
435,DIXON,Dixon Technologies (India) Limited,1.5081726108901319
436,DJML,DJ Mediaprint & Logistics Limited,-0.7915567282322032
437,DLF,DLF Limited,5.713489409141583
438,DLINKINDIA,D-Link (India) Limited,5.504418262150216
439,DMART,Avenue Supermarts Limited,-0.9346826940074283
440,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,8.347153123272518
441,DNAMEDIA,Diligent Media Corporation Limited,
442,DODLA,Dodla Dairy Limited,3.98431177239619
443,DOLATALGO,Dolat Algotech Limited,9.377289377289385
444,DOLLAR,Dollar Industries Limited,-0.3205128205128161
445,DONEAR,Donear Industries Limited,5.701078582434526
446,DPABHUSHAN,D. P. Abhushan Limited,2.247997130216438
447,DPSCLTD,DPSC Limited,4.870129870129858
448,DPWIRES,D P Wires Limited,7.60014096088336
449,DRCSYSTEMS,DRC Systems India Limited,0.0
450,DREAMFOLKS,Dreamfolks Services Limited,1.7098392546329406
451,DREDGECORP,Dredging Corporation of India Limited,
452,DRREDDY,Dr. Reddy's Laboratories Limited,1.5013235031423169
453,DSSL,Dynacons Systems & Solutions Limited,2.33021988713758
454,DTIL,Dhunseri Tea & Industries Limited,6.634434595756107
455,DUCON,Ducon Infratechnologies Limited,
456,DVL,Dhunseri Ventures Limited,4.992223950233285
457,DWARKESH,Dwarikesh Sugar Industries Limited,5.1798561151079054
458,DYCL,Dynamic Cables Limited,4.148148148148142
459,DYNAMATECH,Dynamatic Technologies Limited,7.266229499403246
460,DYNPRO,Dynemic Products Limited,4.952015355086363
461,E2E,E2E Networks Limited,
462,EASEMYTRIP,Easy Trip Planners Limited,2.8037383177570163
463,EASTSILK,Eastern Silk Industries Limited,
464,ECLERX,eClerx Services Limited,1.096185527816492
465,EDELWEISS,Edelweiss Financial Services Limited,3.8552321007081085
466,EDUCOMP,Educomp Solutions Limited,
467,EICHERMOT,Eicher Motors Limited,-1.8075286741472418
468,EIDPARRY,EID Parry India Limited,5.295950155763236
469,EIFFL,Euro India Fresh Foods Limited,1.3267626990144048
470,EIHAHOTELS,EIH Associated Hotels Limited,1.9760756063710325
471,EIHOTEL,EIH Limited,5.650723025583977
472,EIMCOELECO,Eimco Elecon (India) Limited,3.379903805254711
473,EKC,Everest Kanto Cylinder Limited,11.191473163304162
474,ELDEHSG,Eldeco Housing And Industries Limited,-0.3672351549856756
