,SYMBOL,NAME OF COMPANY,cm02JUL2024bhav.csv,cm01JUL2024bhav.csv
226,BCLIND,Bcl Industries Limited,0.3221527382982653,-0.18914318138830022
227,BCONCEPTS,Brand Concepts Limited,-7.442718745194522,-3.4661916425443513
228,BDL,Bharat Dynamics Limited,-1.176252089395159,1.1712388826255824
229,BEARDSELL,Beardsell Limited,0.7782101167315286,0.9690937663698205
230,BECTORFOOD,Mrs. Bectors Food Specialities Limited,0.444444444444451,0.632704265299447
231,BEDMUTHA,Bedmutha Industries Limited,-1.0346132817428642,2.4429125376992746
232,BEL,Bharat Electronics Limited,-0.5038192751503184,0.5720823798627003
233,BEML,BEML Limited,-1.2002206287920492,2.128186928944014
234,BEPL,Bhansali Engineering Polymers Limited,1.7743190661478607,-0.9328502043019102
235,BERGEPAINT,Berger Paints (I) Limited,0.17742730409068058,0.6049186830622791
236,BESTAGRO,Best Agrolife Limited,1.2374207976146037,-0.8792670311807367
237,BFINVEST,BF Investment Limited,-0.41455221213637017,1.8490208924801532
238,BFUTILITIE,BF Utilities Limited,-2.0252881280071637,-0.4566718645577979
239,BGLOBAL,Bharatiya Global Infomedia Limited,,
240,BGRENERGY,BGR Energy Systems Limited,,
241,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,-2.5678975801080433,8.207879564381807
242,BHAGERIA,Bhageria Industries Limited,-1.4303157160300064,1.4151777817088307
243,BHAGYANGR,Bhagyanagar India Limited,-0.37456605152566835,1.7002694416054989
244,BHANDARI,Bhandari Hosiery Exports Limited,-0.1256281407035149,2.1822849807445435
245,BHARATFORG,Bharat Forge Limited,-1.2275278369698999,-0.2634178465590962
246,BHARATGEAR,Bharat Gears Limited,-0.35425560904714376,-0.0635439360929495
247,BHARATRAS,Bharat Rasayan Limited,-0.7470955753871825,0.949512767010135
248,BHARATWIRE,Bharat Wire Ropes Limited,0.9405568096313016,3.2834660967553866
249,BHARTIARTL,Bharti Airtel Limited,-2.4105914718019226,0.6890343132163046
250,BHEL,Bharat Heavy Electricals Limited,-1.7361111111111112,0.5152069137443758
251,BIGBLOC,Bigbloc Construction Limited,5.55136454404261,-0.7836921586756489
252,BIKAJI,Bikaji Foods International Limited,0.8218987253604482,0.3144214645053102
253,BIL,Bhartiya International Limited,,
254,BINANIIND,Binani Industries Limited,,
255,BINDALAGRO,Oswal Chemicals & Fertilizers Limited,,
256,BIOCON,Biocon Limited,-0.2656228156018422,1.8655653659925817
257,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,-3.8030998851894453,8.26600372902425
258,BIRLACABLE,Birla Cable Limited,0.5775444264943485,2.7215399933620987
259,BIRLACORPN,Birla Corporation Limited,-1.4103801488215753,0.5572774803544092
260,BIRLAMONEY,Aditya Birla Money Limited,-1.4551627963378437,-1.3930407748415545
261,BIRLATYRE,Birla Tyres Limited,,
262,BKMINDST,Bkm Industries Limited,,
263,BLAL,BEML Land Assets Limited,-0.5525787006028245,1.4955812372535806
264,BLBLIMITED,BLB Limited,,
265,BLISSGVS,Bliss GVS Pharma Limited,0.7764728719790325,1.4873916469661201
266,BLKASHYAP,B. L. Kashyap and Sons Limited,-0.347448425624314,2.1177514136822224
267,BLS,BLS International Services Limited,0.21479393207142206,6.232173416999419
268,BLUECHIP,Blue Chip India Limited,,
269,BLUECOAST,Blue Coast Hotels Limited,,
270,BLUEDART,Blue Dart Express Limited,0.983024397436764,2.0912130164524623
271,BLUESTARCO,Blue Star Limited,-1.0937211165198102,-0.712734391728602
272,BODALCHEM,Bodal Chemicals Limited,0.9479887266205417,1.2451361867704385
273,BOHRAIND,Bohra Industries Limited,,
