,Index Name,ind_close_all_25022026.csv,ind_close_all_24022026.csv,ind_close_all_23022026.csv,ind_close_all_20022026.csv,ind_close_all_19022026.csv,ind_close_all_18022026.csv,ind_close_all_17022026.csv,ind_close_all_16022026.csv,ind_close_all_13022026.csv,ind_close_all_12022026.csv,ind_close_all_11022026.csv,ind_close_all_10022026.csv,ind_close_all_09022026.csv,ind_close_all_06022026.csv,ind_close_all_05022026.csv,ind_close_all_04022026.csv,ind_close_all_03022026.csv,ind_close_all_02022026.csv,ind_close_all_01022026.csv
88,Nifty200 Alpha 30,.74,-.14,.08,.91,-1.58,.76,.6,.32,-1.82,.69,.28,.35,1.76,1.09,-.27,.76,3.26,1.22,-3.28
89,Nifty Midcap150 Momentum 50,.89,-.24,-.39,.64,-1.76,.8,.42,.51,-2.29,.05,-.02,.36,1.68,.38,-.11,.69,2.9,1.33,-2.69
90,Nifty Smallcap250 Quality 50,.44,-.98,1.02,-.23,-1.3,.18,.79,.25,-1.45,-1.34,-.32,.73,2.01,-.68,-.68,.41,3.31,.68,-1.59
91,NIFTY100 ESG,.55,-1.02,.42,.41,-1.53,.27,.24,.72,-1.33,-.78,.18,.31,.69,.03,-.38,.05,2.59,.79,-1.68
92,NIFTY100 Enhanced ESG,.53,-1.04,.43,.4,-1.54,.26,.25,.72,-1.32,-.79,.17,.3,.68,.01,-.36,.03,2.59,.78,-1.67
93,NIFTY50 Equal Weight,.64,-.79,.49,.62,-1.38,.37,.26,.72,-1.34,-.43,.32,.39,.91,-.04,-.27,.45,2.63,1.1,-2.22
94,Nifty 50 Futures Index,.11,-1.03,.46,.55,-1.48,.34,.09,.78,-1.31,-.52,.03,.27,.7,.04,-.48,.12,2.69,1.16,-2.21
95,Nifty 50 Arbitrage,.08,-.01,.07,-.05,.05,.03,.06,.05,.01,-.02,.03,0,.01,.12,-.01,.05,-.08,-.06,.18
96,Nifty Aditya Birla Group,,,,,,,,,,,,,,,,,,,
97,Nifty 8-13 yr G-Sec,0,.16,.15,-.25,.02,-.05,.11,.14,.05,.14,.2,.17,-.08,-.54,.35,.18,.23,-.37,.02
98,Nifty 4-8 yr G-Sec Index,.07,.11,.18,-.14,.02,-.03,.07,.1,.09,.17,.06,.11,-.09,-.24,.16,.12,.31,-.22,.02
99,Nifty 11-15 yr G-Sec Index,.06,.25,.17,-.26,.02,-.06,.13,.16,.13,.26,.36,.2,-.03,-.57,.37,.2,.31,-.7,.02
100,Nifty 15 yr and above G-Sec Index,.43,.26,.12,-.15,.02,-.26,.09,.48,.06,.07,.36,.1,-.5,-.84,.45,.2,.31,-1.02,.02
101,Nifty Composite G-sec Index,.09,.19,.15,-.21,.02,-.09,.09,.21,.08,.12,.21,.16,-.17,-.55,.35,.17,.28,-.53,.02
102,Nifty 10 yr Benchmark G-Sec,-.03,.22,.14,-.27,.02,-.13,.09,.12,.06,.16,.16,.22,-.1,-.57,.36,.19,.27,-.46,.02
103,Nifty 10 yr Benchmark G-Sec (Clean Price),-.05,.21,.13,-.3,0,-.15,.07,.1,.04,.15,.14,.21,-.12,-.6,.35,.17,.26,-.49,0
104,Nifty 1D Rate Index,.01,.01,.04,.03,.01,.01,.01,.04,.01,.01,.01,.01,.04,.01,.01,.01,.01,.04,.03
105,Nifty50 USD,,-1.19,.67,.11,-1.41,.37,.13,.82,-1.33,-.47,-.07,.47,.56,-.15,-.43,0,3.98,1.58,-1.96
