,SYMBOL,NAME OF COMPANY,cm30OCT2023bhav.csv,cm27OCT2023bhav.csv,cm26OCT2023bhav.csv,cm25OCT2023bhav.csv,cm23OCT2023bhav.csv,cm20OCT2023bhav.csv,cm19OCT2023bhav.csv,cm18OCT2023bhav.csv,cm17OCT2023bhav.csv,cm16OCT2023bhav.csv,cm13OCT2023bhav.csv,cm12OCT2023bhav.csv,cm11OCT2023bhav.csv,cm10OCT2023bhav.csv,cm09OCT2023bhav.csv,cm06OCT2023bhav.csv,cm05OCT2023bhav.csv,cm04OCT2023bhav.csv,cm03OCT2023bhav.csv
43,ADROITINFO,Adroit Infotech Limited,,,,,,,,-2.1897810218978067,0.48899755501223185,-3.0805687203791567,-4.954954954954945,1.6018306636155506,3.8004750593824257,-3.6613272311212843,-3.104212860310418,-1.7429193899782074,-0.21739130434782916,-3.563941299790362,-0.4175365344467552
44,ADSL,Allied Digital Services Limited,1.2919896640826873,0.8250108554059823,-0.7327586206896503,0.9573542210617878,-6.0506950122649155,-2.3162939297124643,0.4815409309791401,-1.928374655647385,2.6666666666666643,-1.4336917562723992,-3.1623602005399216,6.314063140631408,1.2033195020746912,0.5423445974134382,-5.181962025316465,-0.15797788309635752,0.9569377990430531,-2.4883359253499138,-2.57575757575758
45,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,0.306591722023517,0.0,1.4515292897874459,1.8479408658922916,-6.607495069033533,-2.217936354869814,0.5819592628516087,-1.434034416826004,-1.4137606032045242,4.686729156388751,-0.6372549019607898,-1.1627906976744213,-0.7215007215007215,1.8618324350808484,5.314757481940136,-0.30864197530863907,1.8334206390780514,3.9194338595536298,3.08641975308642
46,ADVENZYMES,Advanced Enzyme Technologies Limited,2.1604938271604865,3.5840484603735603,-2.365697387875816,-1.2011037169290661,-7.157926461723931,2.060904337127034,-0.9143553794574825,-0.10656112041405569,-1.602756141402044,-0.34333482609344,0.05974607916355149,0.7979524239686773,1.3272311212814714,0.44437634079067995,0.2457757296467009,-0.565144340919512,3.772388651133313,-0.5673758865248263,-1.014040561622465
47,AEGISCHEM,Aegis Logistics Limited,-1.1845178511845216,4.552590266875986,-2.3505365355135526,-3.3261979252428673,-3.172831632653075,-1.3681396445981966,0.17328292375551715,-1.1522890065400329,-0.5728440935129172,0.3885607709045695,-0.356202570853348,-0.12374323279194965,-0.07727975270479134,0.2789832610043326,-1.300290653204834,-0.8644222020018095,0.8102736584620018,-0.5775953792369592,-0.13661202185792004
48,AETHER,Aether Industries Limited,-0.8749712180520404,0.982386793001226,-2.1889924948828745,-1.3572630398205296,0.7743175267054793,-0.9904868494683854,-1.2543515499806623,-1.5879058132579282,-1.0971871134297781,-1.676361713379167,-0.546965393920274,0.8486262861992149,-0.15886464732048294,-0.32198469253100603,-1.523027341719511,-0.29024567222971576,0.5733944954128439,-1.026672857658766,0.07228044813877142
49,AFFLE,Affle (India) Limited,1.869069299338637,2.66174661746617,-0.853658536585366,-1.0617760617760617,-3.376235776907297,0.09335324869305452,0.6246770936076362,-0.7227455003264012,1.079323184239058,-1.5269655620532856,-0.30538589672403804,0.4461795872838775,1.754551903523287,-0.9137769447047797,-2.3743080653277864,0.18791823265193458,-0.8362876102172364,-1.336322869955165,0.7317734212665922
50,AGARIND,Agarwal Industrial Corporation Limited,-1.8594104308389998,0.2785515320334314,4.379042307007651,-1.525067196447361,-4.348312094790965,-1.4866204162537164,-0.6781144044624228,-1.862287339666186,0.38250188557267045,-1.506951077151643,1.4261880415478176,1.033114023163504,0.3601637107776212,0.565250795741409,-1.2036434612882263,4.36258699711425,1.1330472103004265,-1.4382402707275803,-1.324577025823684
51,AGI,AGI Greenpac Limited,0.4342500835096289,-0.9157105030891389,-0.6303787754207093,1.030071440438606,-6.937071586868006,2.013669821240797,-2.170558584507769,-1.8824123139036062,-3.1950754799941414,-4.081537019681345,15.108689789093258,2.103871784986509,-1.491970486111111,2.031552726266263,-4.503885394089974,1.8466673845159876,1.7084656664111293,0.1535592848524709,1.7692694089412315
52,AGRITECH,Agri-Tech (India) Limited,,,,,,,,,,,,,,,,,,,
53,AGROPHOS,Agro Phos India Limited,-1.2838801711840109,3.0882352941176388,-2.5787965616045803,-1.5514809590973322,-6.710526315789467,-2.937420178799486,-0.7604562737642693,-1.0037641154328698,0.1256281407035283,4.874835309617903,-0.6544502617801046,3.663500678426055,0.0,-0.8075370121130475,-3.756476683937831,0.7832898172323872,-1.288659793814433,-0.8939974457215872,6.385869565217396
54,AGSTRA,AGS Transact Technologies Limited,0.24610336341263098,2.179379715004198,0.0,-2.770986145069279,-4.140624999999998,-3.6144578313253093,-0.5988023952095681,-0.22404779686333934,7.034372501998411,0.32076984763431554,0.7269789983844958,-0.5622489959839381,2.7227722772277203,0.3311258278145743,-2.3443815683104328,-0.08077544426493886,-0.6420545746388421,-1.657458563535918,4.4517724649629065
55,AHL,Abans Holdings Limited,0.5026809651474532,1.1011350160935118,-3.3562540929927964,-4.77081384471469,-5.202483003251558,-1.5568165284446287,-0.506658946149392,-0.11567379988433606,1.0963309457681625,-0.043834015195785295,-1.4968336211859496,1.8917729872415276,-1.7293558149589279,0.0865426222414572,-0.9995716121662146,1.463343958272951,0.6709451575262577,-0.4934687953555845,0.5986275368666992
56,AHLADA,Ahlada Engineers Limited,6.278026905829597,3.049907578558223,-1.3223894208846354,-0.3634711494775025,-4.01221107719146,-0.9075194468452871,-0.6440532417346501,3.0987162461266045,-0.2208480565371025,-3.700552956188851,-1.7140468227424728,-3.5872632003224534,-2.9342723004694835,0.5903187721369539,3.1668696711327575,10.945945945945951,-7.6923076923076925,18.356299212598433,0.7936507936507908
57,AHLEAST,Asian Hotels (East) Limited,1.4377601210745408,2.640776699029131,-0.1937984496124031,-3.587443946188349,-4.291845493562231,0.4671218109953328,1.016333938294015,-2.7532650900105935,-0.978678783642087,-1.7176228100309172,-2.3154362416107306,-0.3011040481766401,5.992907801418432,2.5454545454545454,-2.447676481021631,2.65841223597959,2.30998509687036,0.41152263374484316,-0.595016734845655
58,AHLUCONT,Ahluwalia Contracts (India) Limited,-2.4661090279780824,5.476118040766656,-2.2598870056497242,-2.9857204673301503,-4.41196746173997,0.4083892849726492,-0.21411797209558706,-2.5772155305834032,3.915810083210965,2.6191159586681976,0.07899461400358414,0.37482880415195313,-1.0132001427042487,-0.20649387638849978,-3.821394329543895,2.976022566995772,2.316184428890967,0.23868074641980197,-1.741169781820766
