,SYMBOL,NAME OF COMPANY,cm26JUN2024bhav.csv,cm25JUN2024bhav.csv,cm24JUN2024bhav.csv,cm21JUN2024bhav.csv,cm20JUN2024bhav.csv,cm19JUN2024bhav.csv,cm18JUN2024bhav.csv,cm14JUN2024bhav.csv,cm13JUN2024bhav.csv,cm12JUN2024bhav.csv,cm11JUN2024bhav.csv,cm10JUN2024bhav.csv,cm07JUN2024bhav.csv,cm06JUN2024bhav.csv,cm05JUN2024bhav.csv,cm04JUN2024bhav.csv,cm03JUN2024bhav.csv
346,CMSINFO,CMS Info Systems Limited,1.7731612632462466,1.54485403792883,-0.7087697027398637,2.6830328046925844,-0.2275929337812965,-1.5996587394689132,-0.9506707510298933,-2.862712907859632,-0.713121434392828,1.625427062842949,1.770097987567164,2.0537634408602177,1.3734466971877068,5.593922651933704,0.011511453896616673,-3.305877114870874,1.514124293785308
347,COALINDIA,Coal India Limited,-0.10655301012253596,-0.9394131306734196,-1.3536026655560185,-0.61057642554072,1.087979914216966,-2.2697065739699465,0.4312557757470013,-0.19471203115392266,-0.1636996112134257,2.5926314684580594,-0.28260414486078417,-0.30261922153813814,1.3109208161539252,2.6924329605905934,4.220411857886408,-13.750365960769015,4.305781758957662
348,COASTCORP,Coastal Corporation Limited,-0.5337766888344412,-0.5395996518711963,-0.004351420738867283,-2.241790028926327,0.10219724067450565,3.5906484340538225,-0.38667721240883374,-2.208662770711579,-0.48321573658327793,-0.2346416382252608,-2.8756111709621273,6.9058693244739775,2.8239580961056654,0.04556846662110856,1.315789473684208,-3.6262513904338176,0.2676778942672292
349,COCHINSHIP,Cochin Shipyard Limited,0.895570126339353,2.1183771551221375,0.5111970922734244,-4.466945944129565,-1.0748160624058152,-2.7835229231299707,9.3504841331543,5.757923061590589,5.462858344062855,0.4646128666085877,0.04489752799492441,-1.0220886158672045,3.224500809498111,9.99970318482681,-7.018270133024236,-9.999999999999998,3.3553256488588765
350,COFFEEDAY,Coffee Day Enterprises Limited,-0.10681858643404357,-1.5770106886279982,0.2283105022831095,0.19355973957416758,3.1959324496095842,-2.7718926553672323,-0.7360672975814961,-2.494873547505128,1.720841300191208,1.1072056239015864,4.691812327506895,0.555041628122117,-0.09242144177449957,1.5962441314554017,5.1332675222112565,-8.408679927667267,2.5974025974025947
351,COFORGE,Coforge Limited,-0.4728397484417645,-0.018685825866788748,-0.5897759780064644,1.2688230701944117,-1.4679851347969903,2.3145777626064223,1.3716537703657492,-1.355900061631821,1.8159175162187247,0.06472366857616535,-0.8486346177791686,-3.8841118742059746,4.190766692565216,1.6289407498391386,3.2645788663062953,-0.989714149025247,0.9173204586602366
352,COLPAL,Colgate Palmolive (India) Limited,-1.0331490736979672,-0.05648221692701118,0.22998673153471916,-1.0278050147079392,-1.4052411697683345,-1.67702074209864,-0.23369233895549993,0.5585450582385427,-0.6530197936051492,0.13722068813634594,0.24624685822973985,-0.6512569596760649,0.392967241437715,-0.2753331869394129,5.349230358572833,4.562454645256123,1.121417953976713
353,COMPINFO,Compuage Infocom Limited,,,,,,,,,,,,,,,,,
354,COMPUSOFT,Compucom Software Limited,-0.0687994496044017,-1.1560693641618494,0.0,-0.13582342954159302,0.8907159986296608,-0.7817811012916398,-2.161622879946786,2.557980900409277,-3.138420878757844,0.5982053838484537,4.081632653061224,0.7317073170731737,4.174228675136111,5.353728489483756,0.3838771593090129,-7.950530035335689,3.096539162112938
355,CONCOR,Container Corporation of India Limited,-0.38995624881112195,0.19535903178159644,-3.808781739847848,-0.46078744468269117,-0.6436698245773002,-3.2666842059107255,0.03947887879984608,-0.03946329913181141,-0.09199632014719013,4.9227799227799185,3.113891653632865,0.014220705346993835,0.1947280930895231,5.9904354392147,4.69038208168643,-19.20374707259953,9.247802018886366
356,CONFIPET,Confidence Petroleum India Limited,-1.3827101118191722,-1.1528405039220333,-0.18979833926452738,2.8927132918344807,0.4290267222358526,-1.6041490773127467,-0.048221820373726645,0.6674757281553363,-0.3868471953578254,1.771653543307084,0.6189650903689032,4.705119896305892,0.3250975292587776,2.8074866310160544,6.476868327402132,-10.108765195137563,-4.345165238678087
357,CONSOFINVT,Consolidated Finvest & Holdings Limited,-0.8564559751577722,-2.9363150218765157,7.24713242961417,-1.0319917440660475,0.5134588454955703,-3.241832689316007,0.9064209033826315,-0.7438681141938169,-0.3905076599579459,-0.030030030030031168,0.43229114305821537,-1.245966741126826,0.3736920777279522,3.908879109500379,-1.0755441741357206,-5.149380616954089,-0.4593810444874357
358,CONTROLPR,Control Print Limited,0.17446932247746438,2.4487607244995178,-0.8389460002363122,4.487931353787259,-0.7657436902719922,-0.7900814391637291,-1.3312544974813996,-0.3048962754827606,-0.4582242323256394,0.6167295371534748,-0.4114490161001843,1.1459589867310012,-4.5645541932884335,1.0880949610147823,0.9634590529902398,-0.971551573680845,0.5381061004854679
359,CORALFINAC,Coral India Finance & Housing Limited,-0.11627906976744626,12.344872632266496,-1.8799401837214322,0.6233877901977625,0.3451251078516042,-0.2581755593803732,-3.045473508552359,-0.3326403326403403,0.88087248322148,2.714347264110293,5.380249716231566,-3.504928806133629,-0.9761388286334117,5.011389521640098,5.27577937649879,-12.486883525708281,2.8047464940668765
360,CORDSCABLE,Cords Cable Industries Limited,-3.6874952431691796,-2.587485172004752,6.313549302435556,2.666396924944367,1.1583169613621531,-1.4481061675608098,1.9828047225307472,-3.2207978342224712,0.6289812106886715,0.6005158794131907,6.052316635322276,-4.016410256410253,13.030373290053324,9.997449630196375,2.3759791122715463,-8.285440613026825,-0.38167938931296896
361,COROMANDEL,Coromandel International Limited,2.2683318582620475,-0.4243235303717727,-1.1645912639525247,-5.712373768098301,4.494310596910562,2.8069143548018047,1.415031813361621,0.6974338438949542,1.586494457439226,0.5864902649435767,1.8652309829801952,3.4049278069104303,0.33876315410118335,1.2848591035187718,4.965517241379307,-2.7027027027027026,2.5969555572554155
362,COSMOFIRST,COSMO FIRST LIMITED,-1.3610634102906483,0.9437596302003112,-1.067073170731719,0.2994202713894404,11.089879688605807,0.3836317135549937,2.6845637583892588,2.0396010123566963,1.664900862721356,2.712786630392545,4.36440334225683,3.6404910038674925,2.155801769303456,4.057556528733565,4.942787469517918,-6.8902279276918925,3.4884771802982293
363,COUNCODOS,Country Condo's Limited,-1.782820097244738,9.982174688057032,0.17857142857144065,0.5385996409335612,0.0,0.5415162454873691,-1.946902654867262,-3.4188034188034067,-1.8456375838926227,3.292894280762572,-0.688468158347677,-3.166666666666673,4.3478260869565215,2.678571428571435,2.7522935779816415,-4.385964912280701,2.7027027027027093
364,CRAFTSMAN,Craftsman Automation Limited,0.4026501702112083,13.104590384515866,-0.2858853156091393,-0.019605617525354564,-0.9191289234229593,2.562758215716289,1.1712036663766907,6.68915248098515,0.5416723565023482,-0.5477591670439071,-0.4820471234851475,1.5544041450777162,1.6805452177149238,2.6172261937439494,0.7551435133412827,-2.8798654661388126,1.1899978728935607
365,CREATIVE,Creative Newtech Limited,1.8685914732865498,-4.478381339003802,0.10320583112946762,2.249043661786038,0.47713717693837276,0.7208650380456517,-2.212649304875652,-0.3836150845253635,6.605669924447214,1.5914372227308033,-2.499141778235502,3.063968298896119,4.272116874492739,0.051675771445448514,6.753881314524376,-11.041783510936623,-0.11903928296336519
366,CREATIVEYE,Creative Eye Limited,,,,,,,,,,,,,,,,,
367,CREDITACC,CREDITACCESS GRAMEEN LIMITED,-0.003678905157821685,-3.45244015060028,-4.407170990085554,-0.5806103159600416,0.43736226479064555,-1.4237492062431039,1.413367678958779,-0.5024786699490807,0.3553540002707459,-1.2730127969527851,-0.607731137088195,0.3566072321279726,-0.0033326667999703076,6.836146122623371,10.959228824273076,-4.0703403319942435,-0.3436945273255999
368,CREST,Crest Ventures Limited,-0.11316484345529702,0.02515406867059889,-0.5130130130130158,-4.698306701645597,1.1214277101169745,-0.9672796751850996,0.3475134811264203,-4.508525002860737,-1.1537156430268118,14.758566978193151,-0.6448284756254836,0.9898411044542879,6.579677956690724,3.0910131654264488,-0.3422703936109656,-1.9163519373338833,2.833716915995387
369,CRISIL,CRISIL Limited,-1.2048909294193124,-0.3673682214637846,0.36394776279169777,1.133083140877585,1.1337647803026705,0.44967984749986883,-0.4730921252660339,-0.9898009560851171,0.6008406924204475,0.32204749289064966,-0.16621574075196133,1.3165011308879861,0.43084824018863055,-3.2753803166718427,2.8997616297643325,0.6268623499301516,-1.4668079870375066
370,CROMPTON,Crompton Greaves Consumer Electricals Limited,-0.36038130667286944,-0.22039206588562546,1.0668229777256768,-0.547977148187017,1.0247349823321608,-0.9681558380963438,0.4923221193294962,0.3528996588636631,0.6750355281856993,2.6750972762645917,-0.14570179698883506,3.6365924248143924,-0.6500812601575112,-0.5717837165941607,6.7542462845010585,-4.7643118918235725,0.866794136392601
371,CROWN,Crown Lifters Limited,,,,,,,,,,,,,,,,,
372,CSBBANK,CSB Bank Limited,0.0562192550948668,2.9816181791865715,-1.3986013986014083,-0.7225843015018291,0.22720817949444888,1.236342725704431,1.4142003207464713,-0.6661839246922553,-1.7361605236943283,-0.05689091167685638,1.5746893961282833,0.3188405797101515,1.2918379330593004,2.3437500000000036,2.384248577141978,-5.700609225413396,4.5178896300788285
