,Index Name,ind_close_all_28032025.csv,ind_close_all_27032025.csv,ind_close_all_26032025.csv,ind_close_all_25032025.csv,ind_close_all_24032025.csv,ind_close_all_21032025.csv,ind_close_all_20032025.csv,ind_close_all_19032025.csv,ind_close_all_18032025.csv,ind_close_all_17032025.csv,ind_close_all_13032025.csv,ind_close_all_12032025.csv,ind_close_all_11032025.csv,ind_close_all_10032025.csv,ind_close_all_07032025.csv,ind_close_all_06032025.csv,ind_close_all_05032025.csv,ind_close_all_04032025.csv,ind_close_all_03032025.csv
73,Nifty REITs & InvITs,-.34,.9,.04,.42,-.17,-.6,-.07,.14,-.42,-.37,.3,.56,.12,-.57,.15,-.39,-.45,.34,-.61
74,Nifty Consumer Durables,-.49,.67,-.26,-1.93,.37,-.77,1.15,1.53,2.62,.23,-.65,.19,.29,-1.76,-1.02,.51,1.58,.39,.88
75,Nifty Non-Cyclical Consumer,-.06,.77,-.33,-.53,.02,.28,1.44,.51,1.84,.45,-.42,-.37,.61,-.67,-.59,.87,1.72,-.26,.51
76,Nifty India Manufacturing,-.63,-.15,-.26,-1.27,1.09,.48,.87,1.17,1.92,.77,-.56,.26,.41,-1.12,.42,1.37,2.37,-.03,.76
77,NIFTY100 Alpha 30,-.76,.4,.42,-1.16,.76,.4,1.29,1.22,2.46,.98,-.49,-.13,.57,-1.37,-.42,.73,2.51,.3,1.21
78,NIFTY500 Value 50,-.55,.94,-.93,-1.07,1.76,1.28,.8,1.5,1.78,.54,-.5,-.05,-.05,-1.35,-.19,1.87,3.02,.87,.69
79,Nifty100 Low Volatility 30,-.37,.47,-.53,.03,.95,.78,1.32,.11,1.34,.45,-.53,-.25,.22,-.37,.05,1.11,1.26,-.95,-.1
80,NIFTY Alpha Low-Volatility 30,-.25,.24,-.06,-.47,1.17,.55,.87,.43,1.64,.61,-.37,-.41,.43,-.73,-.17,.85,1.6,-.62,.83
81,NIFTY Quality Low-Volatility 30,-.32,.41,-.27,-.35,.77,.72,1.2,-.34,1.59,.26,-.36,-.36,.36,-.34,-.08,1.26,1.41,-.93,-.08
82,NIFTY Alpha Quality Low-Volatility 30,-.33,.34,.18,-.68,1.11,.41,.82,.3,1.79,.24,-.35,-.45,.41,-.64,-.06,1.21,1.69,-.73,.37
83,NIFTY Alpha Quality Value Low-Volatility 30,-.33,.26,-.32,-.59,1.36,.59,1.16,.29,1.68,.4,-.34,-.79,.42,-.67,-.14,1.11,1.89,-.68,.24
84,NIFTY200 Quality 30,-.41,.52,-.18,-.31,1.32,.68,.92,.41,1.6,.02,-.53,-.82,.39,-.79,-.17,1.19,2.09,-.69,.34
85,NIFTY Midcap150 Quality 50,.18,-.03,-.36,-.91,1.41,.87,.08,1.73,1.58,.79,-.31,-.55,.24,-1.33,.01,.85,2.42,.04,.55
86,Nifty200 Momentum 30,-.53,.6,-.47,-.91,1.19,.68,.92,.97,2.48,.81,-.58,-.66,.63,-1.5,-.82,-.01,2.43,-.41,.73
87,Nifty100 ESG Sector Leaders,-.42,.59,-.68,-.25,1.11,.8,1.12,.62,1.69,.69,-.39,-.04,.35,-.65,.02,1.14,1.18,-.1,.07
88,Nifty200 Alpha 30,-.13,.45,-.25,-1.83,1.46,.83,.78,2.21,2.7,1.03,-.53,-.49,.81,-1.93,-.89,.36,2.39,.73,.73
89,Nifty Midcap150 Momentum 50,.11,.99,-1.02,-.94,1.65,1.48,.46,2.75,2.73,.89,-.61,-.56,.68,-1.68,-.88,-.18,2.81,.06,.34
90,Nifty Smallcap250 Quality 50,-.6,.58,-1.33,-1.7,1.29,2.16,.88,1.56,3.05,.53,-.53,-.82,-.57,-1.96,.16,2.12,2.25,1.25,-1.28
91,NIFTY100 ESG,-.61,.72,-.67,-.27,1.25,.85,.93,.76,1.69,.72,-.56,-.16,-.02,-.79,-.2,1.01,1.5,-.24,.21
92,NIFTY100 Enhanced ESG,-.61,.72,-.68,-.27,1.24,.85,.93,.75,1.69,.72,-.56,-.16,-.02,-.8,-.19,1.01,1.49,-.24,.22
