,Index Name,ind_close_all_29042024.csv,ind_close_all_26042024.csv,ind_close_all_25042024.csv,ind_close_all_24042024.csv,ind_close_all_23042024.csv,ind_close_all_22042024.csv,ind_close_all_19042024.csv,ind_close_all_18042024.csv,ind_close_all_16042024.csv,ind_close_all_15042024.csv,ind_close_all_12042024.csv,ind_close_all_10042024.csv,ind_close_all_09042024.csv,ind_close_all_08042024.csv,ind_close_all_05042024.csv,ind_close_all_04042024.csv,ind_close_all_03042024.csv,ind_close_all_02042024.csv,ind_close_all_01042024.csv
88,Nifty200 Alpha 30,.18,1.19,1.26,.78,.18,1.33,-.41,-.64,-.05,-1.64,-.42,1.15,-.65,-.17,.35,-.56,.32,.89,1.68
89,Nifty Midcap150 Momentum 50,.96,.76,.87,1.21,.73,.67,-.41,-.29,.19,-1.12,-.86,.51,-.33,.17,.53,-.12,.42,.68,1.83
90,Nifty Smallcap250 Quality 50,.06,.33,.87,1.03,.9,.43,-.23,-.34,.46,-1.57,-.22,.52,.45,.22,.18,.45,1.46,1.13,3.14
91,NIFTY100 ESG,.63,-.28,.51,.26,.29,1.07,.34,-.62,-.72,-1.34,-.87,.39,-.12,.57,.21,.19,.03,.04,.71
92,NIFTY100 Enhanced ESG,.63,-.28,.51,.26,.28,1.07,.34,-.62,-.72,-1.34,-.87,.39,-.12,.57,.21,.19,.03,.04,.7
93,NIFTY50 Equal Weight,.38,-.5,.89,.31,.21,1.07,.41,-.91,-.55,-1.01,-1.01,.46,-.16,.74,-.17,.1,-.13,.25,.63
94,Nifty 50 Futures Index,.86,-.43,.66,.15,.02,1.03,.33,-.66,-.7,-1.08,-.92,.34,-.06,.68,-.07,.31,-.15,-.11,.51
95,Nifty 50 Arbitrage,.1,-.15,.04,-.02,.06,-.1,.23,-.01,.1,.01,-.06,.1,-.02,.02,.05,.04,.05,.05,.09
96,Nifty Aditya Birla Group,,.06,1.79,.1,2.39,1.23,.18,-.31,-.35,-.1,-1.32,.78,.01,.6,-1.38,-.27,.24,1.23,2.04
97,Nifty 8-13 yr G-Sec,.02,.05,-.07,-.11,.17,.21,-.27,.1,-.11,.07,-.38,.25,.02,-.22,-.1,.1,.02,-.32,.02
98,Nifty 4-8 yr G-Sec Index,.01,.04,-.03,-.05,.14,.18,-.17,.02,-.09,.04,-.31,.15,.02,-.16,-.02,.1,.04,-.14,.02
99,Nifty 11-15 yr G-Sec Index,.02,.07,-.1,-.06,.18,.19,-.34,.14,-.13,.08,-.44,.29,.02,-.31,-.08,.09,.05,-.4,.02
100,Nifty 15 yr and above G-Sec Index,.04,-.01,-.12,-.14,.25,.35,-.38,.04,-.12,.12,-.71,.3,.02,-.41,-.24,.07,-.13,-.65,.02
101,Nifty Composite G-sec Index,.03,.03,-.07,-.1,.18,.22,-.24,.06,-.12,.06,-.43,.24,.02,-.25,-.11,.08,.02,-.36,.02
102,Nifty 10 yr Benchmark G-Sec,.01,-.02,-.15,-.07,.08,.15,-.21,.08,-.06,.05,-.4,.27,.02,-.22,-.13,.08,.04,-.35,.02
103,Nifty 10 yr Benchmark G-Sec (Clean Price),.01,-.02,-.15,-.07,.09,.15,-.21,.08,-.06,.03,-.42,.25,0,-.25,-.15,.06,.02,-.38,0
104,Nifty 1D Rate Index,.06,.02,.02,.02,.02,.05,.02,.03,.02,.05,.04,.04,.02,.05,.02,.02,.02,.09,.08
105,Nifty50 USD,,-.7,.75,.18,.17,.98,.78,-.69,-.67,-1.13,-1.3,.64,-.1,.65,.18,.35,-.15,-.02,.61
